"model","elpd_loo","p_loo","looic","estimate_(Intercept)","conf.low_(Intercept)","conf.high_(Intercept)","estimate_DO","conf.low_DO","conf.high_DO","estimate_polyDO21","estimate_polyDO22","conf.low_polyDO21","conf.low_polyDO22","conf.high_polyDO21","conf.high_polyDO22","estimate_polyDO31","estimate_polyDO32","estimate_polyDO33","conf.low_polyDO31","conf.low_polyDO32","conf.low_polyDO33","conf.high_polyDO31","conf.high_polyDO32","conf.high_polyDO33","r2","r2_error","r2_q2.5","r2_q97.5","id","model_type"
"b_0_24nov_1_lm_2",64.5338949829977,3.72026594901303,-129.067789965995,0.134789488860978,0.120397817059482,0.148761837293448,NA,NA,NA,0.174859328358089,-0.157977697291019,0.0883646182162602,-0.243405497237765,0.267492055617136,-0.0719526219181078,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441900487164519,0.0890675143556271,0.236261789370039,0.579165890124239,"b_0_24nov_1","lm_2"
"b_0_24nov_1_lm_3",63.8823207576383,4.84070603842138,-127.764641515277,0.134841637504074,0.12057458311403,0.148930336680206,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175486819972007,-0.159600823931753,0.0525118475907906,0.0839418377464713,-0.248130289144887,-0.0347446987928125,0.263204811680428,-0.0668091919352346,0.140946125755114,0.466542087998262,0.0872579272772051,0.261613134158364,0.599753140323064,"b_0_24nov_1","lm_3"
"b_0_24nov_2_lm_0",61.6217194864884,1.92337644738502,-123.243438972977,0.184023958230543,0.170115770382273,0.197861188715435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"b_0_24nov_2","lm_0"
"b_0_24nov_2_lm_1",82.8781160169173,2.87065775925435,-165.756232033835,0.0987664826985474,0.0775015371553307,0.119349081008077,0.00110422716180307,0.000852907733965025,0.00135747929216006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.700100820796276,0.0522995996595983,0.566076454070788,0.767580120308151,"b_0_24nov_2","lm_1"
"b_0_24nov_2_lm_2",84.7470568393078,3.63837835590138,-169.494113678616,0.183941622650728,0.176653682245451,0.191425139513179,NA,NA,NA,0.208770435482529,-0.0506024309881198,0.1637172898312,-0.0959397847217728,0.252903250788036,-0.00453207188457204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741077412273571,0.0438755849636501,0.628416751283962,0.795912901619938,"b_0_24nov_2","lm_2"
"b_0_24nov_2_lm_3",84.0060423339603,4.49309212033157,-168.012084667921,0.183899963435177,0.17672771805479,0.191109294798089,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20885226174251,-0.051442786645344,-0.0194447285698973,0.16238784192795,-0.0969240170003411,-0.0643193097345426,0.254976154905283,-0.00602866203433645,0.0239125022122277,0.743287749698697,0.0447735372870505,0.622442081743342,0.798577211276487,"b_0_24nov_2","lm_3"
"b_0_24nov_3_lm_0",79.9028833906916,1.62598376154597,-159.805766781383,0.108345981295351,0.0994249951478125,0.117957841560639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"b_0_24nov_3","lm_0"
"b_0_24nov_3_lm_1",93.6723870418566,3.00593800503375,-187.344774083713,0.0636847178029054,0.0478963161977432,0.0788213557465871,0.000600893161724981,0.000409834016506907,0.000793379952056625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542635108542744,0.0807960639329777,0.342216232996354,0.659468750209154,"b_0_24nov_3","lm_1"
"b_0_24nov_3_lm_2",95.2596363604563,3.76217563257223,-190.519272720913,0.108267297031678,0.10251496453154,0.113945662406325,NA,NA,NA,0.119915865424972,0.0394672313699687,0.0850010003971574,0.00310695995930635,0.156362413835718,0.0751666253132,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599494519659243,0.0693669410174766,0.430050158326447,0.696755903373828,"b_0_24nov_3","lm_2"
"b_0_24nov_3_lm_3",94.499206220047,4.4081203685103,-188.998412440094,0.108276100926708,0.102358608554563,0.114122495272861,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11976957614995,0.0392860178016225,-0.0123566818337396,0.0836333740448446,0.00405539282639763,-0.0458406120798674,0.154753915861162,0.0743523334728406,0.0217446244080196,0.601995171884131,0.0695862526644139,0.431387242156971,0.698286366995152,"b_0_24nov_3","lm_3"
